Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
คีมตัดลวด solo no 385-8”,10834,คีมตัดลวด solo no 385-8”,เครื่องมือช่าง,,N,,,,,,,0.00,8852198258969,,,Y,Y,140.00,100.000,0.000
คีมตัดลวด stanley 8”,10836,คีมตัดลวด stanley 8”,เครื่องมือช่าง,,N,,,,,,,0.00,3987654321095,,,Y,Y,60.00,99.000,0.000
คีมปากจิ้งจก,10214,คีมปากจิ้งจก,เครื่องมือช่าง,,N,,,,,,,52.00,80000815,,,N,Y,90.00,,
"คีมปากแหลม-no.98-3-meta-6""",11282,"คีมปากแหลม no.98-3 META 6""",เครื่องมือช่าง,,N,,,,,,,78.00,031730,,,N,Y,140.00,,
"คีมปากแหลม-p-15-allways-6""",11381,"คีมปากแหลม P-15 Allways 6""",เครื่องมือช่าง,,N,,,,,,,75.00,80008682,,,N,Y,120.00,,
คีมมินิ,10103,คีมมินิ,เครื่องมือช่าง,,N,,,,,,,52.00,8857124431829,,,N,Y,90.00,,
คีมมินิ-kinzo-no-1011,12905,คีมมินิ kinzo no 1011,เครื่องมือช่าง,,N,,,,,,,50.00,,,,N,Y,90.00,,
คีมมินิ-kinzo-kin20,12904,คีมมินิ kinzo no 1033,เครื่องมือช่าง,,N,,,,,,,50.00,,,,N,Y,90.00,,
คีมล็อก solo no 92-10”,10833,คีมล็อก solo no 92-10”,เครื่องมือช่าง,,N,,,,,,,0.00,8852198024359,,,Y,Y,250.00,100.000,0.000
คีย์บอร์ด-signo-kb-709-x-treme,10979,คีย์บอร์ด Signo KB-709 X-TREME,เครื่องเขียน,,N,,,,,,,0.00,8916624903622,,,N,Y,299.00,,
คีย์บอร์ด-signo-kb-76,10978,คีย์บอร์ด Signo KB-76,เครื่องเขียน,,N,,,,,,,0.00,6531980224987,,,Y,Y,259.00,4.000,0.000
จอยสติ้ก-k21,12393,จอยสติ้ก K21,เบ็ดเตล็ด,,N,,,,,,,30.00,,,,N,Y,100.00,,
"จาน-ไบโอ-8""--50-ใบ",13117,"จาน ไบโอ 8""  50 ใบ",บรรจุภัณฑ์,,N,,,,,,,62.00,,,,N,Y,80.00,,
จานเมลามีน,11427,จาน/ชาม เมลามีน,เบ็ดเตล็ด,,N,,,,,,,18.75,,,,N,Y,25.00,,
จานเมลามีน-12-ใบ,11428,จาน/ชามเมลามีน 12 ใบ(ปลีก25บาท),เบ็ดเตล็ด,,N,,,,,,,225.00,,,,N,Y,290.00,,
จานกระดาษ--9-นิ้ว-aro-100ชิ้น,12413,จานกระดาษ  9 นิ้ว Aro 100ชิ้น,เบ็ดเตล็ด,,N,,,,,,,92.00,,,,N,Y,125.00,,
จานกระดาษ--9-นิ้ว-aro-10ชิ้น,12414,จานกระดาษ  9 นิ้ว Aro 10ชิ้น,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,15.00,,
จานกระดาษ-6-นิ้ว-aro-100ชิ้น,12834,จานกระดาษ 6 นิ้ว Aro 100ชิ้น,เบ็ดเตล็ด,,N,,,,,,,62.00,,,,N,Y,95.00,,
จานกระดาษ-6-นิ้ว-aro-10ชิ้น,12861,จานกระดาษ 6 นิ้ว Aro 10ชิ้น,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,12.00,,
จานกระดาษ-7-นิ้ว-aro-100ชิ้น,12411,จานกระดาษ 7 นิ้ว Aro 100ชิ้น,เบ็ดเตล็ด,,N,,,,,,,72.00,,,,N,Y,100.00,,
จานกระดาษ-7-นิ้ว-aro-10ชิ้น,12412,จานกระดาษ 7 นิ้ว Aro 10ชิ้น,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,12.00,,
จานพลาสติก-20-บาท-1-โหล,11532,จานพลาสติก 20 บาท 1 โหล MJ P229,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,220.00,,
จานพลาสติก-20-บาท,11531,จานพลาสติก 20 บาท MJ p229,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,20.00,,
จานพลาสติก-8-นิ้ว-we-bare-bears,11533,จานพลาสติก 8 นิ้ว WE BARE BEARS,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,20.00,,
จานพลาสติก-8-นิ้ว-we-bare-bears-1โหล,11534,จานพลาสติก 8 นิ้ว WE BARE BEARS 1โหล,เบ็ดเตล็ด,,N,,,,,,,0.00,8852246839331,,,N,Y,230.00,,
"จานพลาสติก-8""-g&g",11935,"จานพลาสติก 8"" G&G",เบ็ดเตล็ด,,N,,,,,,,15.00,85023400481,,,N,Y,20.00,,
"จานพลาสติก-8""-g&g-12-ใบ",11936,"จานพลาสติก 8"" G&G 12 ใบ",เบ็ดเตล็ด,,N,,,,,,,180.00,,,,N,Y,230.00,,
จานไบโอ-8-นิ้ว-epp-(1*50),13100,จานไบโอ 8 นิ้ว EPP (1*50),บรรจุภัณฑ์,,N,,,,,,,62.00,8855051182982,,,Y,Y,80.00,2.000,
จุก-ใบพัดลม,12615,จุก ใบพัดลม,เครื่องใช้ไฟฟ้า,,N,,,,,,,2.50,,,,N,Y,20.00,,
จุกลูกโป่ง,13317,จุกลูกโป่ง,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,1.00,,
ช่อ-ดอกไม้-100-บาท,11712,ช่อ ดอกไม้ 100 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,100.00,,
ช่อ-ดอกไม้-129-บาท,11713,ช่อ ดอกไม้ 129 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,129.00,,
ช่อ-ดอกไม้-139-บาท,11714,ช่อ ดอกไม้ 139 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,139.00,,
ช่อ-ดอกไม้-159-บาท,11726,ช่อ ดอกไม้ 159 บาท,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,159.00,,
ช่อ-ดอกไม้-179-บาท,11715,ช่อ ดอกไม้ 179 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,179.00,,
ช่อ-ดอกไม้-199-บาท,11716,ช่อ ดอกไม้ 199 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,199.00,,
ช่อ-ดอกไม้-250-บาท,11717,ช่อ ดอกไม้ 250 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,250.00,,
ช่อ-ดอกไม้-299-บาท,11718,ช่อ ดอกไม้ 299 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,299.00,,
